% 25176
% tac	manuf	model	aka
33010267	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33010270	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33010271	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33010300	Alcatel	OT Pocket	HD8,One Touch Pocket SFR,OneTouch Pocket
33010353	Alcatel	OT Pocket	HD8,One Touch Pocket SFR,OneTouch Pocket
33010367	Alcatel	OT Pocket	HD8,One Touch Pocket SFR,OneTouch Pocket
33010370	Alcatel	OT Pocket	HD8,One Touch Pocket SFR,OneTouch Pocket
33010371	Alcatel	OT Pocket	HD8,One Touch Pocket SFR,OneTouch Pocket
33010500	Wavecom	MT-18	
33010533	Wavecom	MT-18	
33010600	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33010653	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33010667	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33010670	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33010671	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33010700	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33010800	Sagem	RC 835	G31-P5,G312-P5,G314-B5
33010900	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33011000	Sagem	RD 855	G31-P5,G312-P5
33011095	Sagem	RD 855	G31-P5,G312-P5
33011100	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33011111	Sagem	RD 868	
33011200	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33011300	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33011400	Sagem	RC 810	G31-B0,G312-BO,G314-BO
33011500	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33011535	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33011582	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33011595	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33011600	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33011700	Sagem	G31B5	G312-B5,RC805,RC812
33011800	Sagem	G31B5	G312-B5,RC805,RC812
33011900	Sagem	G31B5	G312-B5,RC805,RC812
33012000	Sagem	RC 815	G31-B5,G312-B5,G314-B5
33012100	Sagem	RC 822	G31-B5,G312-B5
33012135	Sagem	RC 822	G31-B5,G312-B5
33012200	Sagem	RC 825	G31-B5,G312-B5,G314-B5
33012400	Mitsubishi	MT 430	
33012435	Mitsubishi	MT 30	MT 230,MT 430,MT30X
33012500	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33012553	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33012567	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33012570	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33012571	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33012600	Alcatel	OT View	HD5,One Touch View SFR,OneTouch View
33012653	Alcatel	OT View	HD5,One Touch View SFR,OneTouch View
33012800	Sagem	GS818	G312-B5
33012900	Sagem	GS838	G312-P5
33013000	Sagem	GS858	G312-P5
33013100	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33013200	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33013400	Sagem	G31P0	G312-PO,RD850,RD857
33013500	Sagem	G 8300	G31-P0,RD840
33013535	Sagem	G 8300	G31-P0,RD840
33013600	Sagem	G31P0	G312-PO,RD850,RD857
33013700	Sagem	G31P0	G312-PO,RD850,RD857
33014000	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33014053	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33014067	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33014070	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33014071	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33014100	Alcatel	Pocketline Swing	HD1,HE1EFR,One Touch Easy,Pocketline Swing 400
33014200	Wavecom	WMO2	WM02,WM02-G900,WMO2-G1800
33014233	Wavecom	WMO2	WM02,WM02-G900,WMO2-G1800
33014400	Panasonic	CF-27	
33014500	Sagem	GS838	G312-P5
33014600	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33014700	Sagem	RD 855	G31-P5,G312-P5
33014800	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33014900	Sagem	RC 835	G31-P5,G312-P5,G314-B5
33014982	Sagem	RC 835	G31-P5,G312-P5,G314-B5
33015000	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33015100	Sagem	GS858	G312-P5
33015200	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33015300	Sagem	G31P5	G312-P5,RC838C,RC858C,RD845,RD868C
33015400	Sagem	RD 840	G312-PO
33015482	Sagem	RD 840	G312-PO
33015500	Sagem	RD 840	G312-PO
33015600	Sagem	G31P0	G312-PO,RD850,RD857
33015700	Sagem	G31P0	G312-PO,RD850,RD857
33016000	Sagem	G312BO	
33016100	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33016200	Sagem	RC 810	G31-B0,G312-BO,G314-BO
33016282	Sagem	RC 810	G31-B0,G312-BO,G314-BO
33016300	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33016335	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33016382	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33016400	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33016600	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33016700	Sagem	GS818	G312-B5
33016735	Sagem	GS818	G312-B5
33016782	Sagem	GS818	G312-B5
33016800	Sagem	G31B5	G312-B5,RC805,RC812
33016900	Sagem	G31B5	G312-B5,RC805,RC812
33017000	Sagem	RC 815	G31-B5,G312-B5,G314-B5
33017082	Sagem	RC 815	G31-B5,G312-B5,G314-B5
33017100	Sagem	RC 822	G31-B5,G312-B5
33017200	Sagem	RC 825	G31-B5,G312-B5,G314-B5
33017282	Sagem	RC 825	G31-B5,G312-B5,G314-B5
33017300	Sagem	GS818	G312-B5
33017400	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33017500	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33017600	Alcatel	One Touch Club+	HE1TV,HE2
33017700	Alcatel	OT Easy	HD1,HE1EFR,HE1TV,Ola,Ola France Telecom,One Touch Easy,One Touch Easy HF
33017800	Alcatel	One Touch Easy 0.9	ME1
33017900	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33017953	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33017967	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33017970	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33017971	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33018000	Alcatel	One Touch View 0.9	ME3
33018100	Sagem	G313-B0	G313-B5
33018135	Sagem	G313-B0	G313-B5
33018182	Sagem	G313-B0	G313-B5
33018200	Sagem	G313-B0	G313-B5
33018235	Sagem	G313-B0	G313-B5
33018300	Sagem	G313-P0	
33018400	Sagem	G313-P5	
33018500	Sagem	G41S-P	
33018600	Sagem	G41F-P	
33018700	Sagem	G41P-P	
33018800	Sagem	G41F-B	
33018900	Sagem	G41S-B	
33019000	Sagem	G314-B0	G314-B9,RC819,RC829,RC839
33019082	Sagem	G314-B0	G314-B9,RC819,RC829,RC839
33019100	Sagem	G314-B5	RC826,RC838
33019200	Sagem	G314-B0	G314-B9,RC819,RC829,RC839
33019235	Sagem	G314-B0	G314-B9,RC819,RC829,RC839
33019300	Sagem	G314-P9	RC849,RC859
33019400	Sagem	G314-P0	
33019500	Sagem	G314-P5	RC845,RC855
33019600	Sagem	RC 810	G31-B0,G312-BO,G314-BO
33019635	Sagem	RC 810	G31-B0,G312-BO,G314-BO
33019682	Sagem	RC 810	G31-B0,G312-BO,G314-BO
33019700	Sagem	RC 815	G31-B5,G312-B5,G314-B5
33019782	Sagem	RC 815	G31-B5,G312-B5,G314-B5
33019800	Sagem	G314-B0	G314-B9,RC819,RC829,RC839
33019900	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33020000	Sagem	RC 825	G31-B5,G312-B5,G314-B5
33020100	Sagem	G314-B5	RC826,RC838
33020200	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33020300	Sagem	G314-B0	G314-B9,RC819,RC829,RC839
33020400	Sagem	G31B0	G312-BO,G314-B5,G314-BO,RC800,RC827,RC830
33020500	Sagem	RC 835	G31-P5,G312-P5,G314-B5
33020600	Sagem	G314-B5	RC826,RC838
33020700	Sagem	G314-B0	G314-B9,RC819,RC829,RC839
33020800	Sagem	RC840	G314-PO,RC850
33020900	Sagem	G314-P5	RC845,RC855
33021000	Sagem	G314-P9	RC849,RC859
33021100	Sagem	RC840	G314-PO,RC850
33021200	Sagem	G314-P5	RC845,RC855
33021300	Sagem	G314-P9	RC849,RC859
33021400	Sagem	G 412 S-B	G 412 P-P
33021442	Sagem	G 412 S-B	G 412 P-P
33021500	Sagem	G412S-P	
33021600	Sagem	G412F-P	
33021700	Sagem	G412F-B	
33021800	Sagem	G 412 S-B	G 412 P-P
33021872	Sagem	G 412 S-B	G 412 P-P
33021900	Sagem	G413S-B	
33022000	Sagem	G413S-P	
33022100	Sagem	G413F-P	
33022200	Sagem	G413F-B	
33022300	Sagem	G413P-P	
33100000	Sagem	DC735	
33100035	Sagem	B500	
33100082	Sagem	B500	
33100095	Sagem	B500	
33100435	Sagem	B515	
33100482	Sagem	B515	
33100495	Sagem	B515	
33100700	Sagem	B510	
33102122	Sagem	Sanaga	
33102135	Sagem	Sanaga	
33102182	Sagem	Sanaga	
33102195	Sagem	Sanaga	
33102600	Sagem	D41S-P	
33102611	Sagem	MC 940	GPH42,MC940,MR940
33102620	Sagem	MC 940	GPH42,MC940,MR940
33102622	Sagem	MC 940	GPH42,MC940,MR940
33102635	Sagem	MC 940	GPH42,MC940,MR940
33102642	Sagem	MC 940	GPH42,MC940,MR940
33102672	Sagem	MC 940	GPH42,MC940,MR940
33102682	Sagem	MC 940	GPH42,MC940,MR940
33102695	Sagem	MC 940	GPH42,MC940,MR940
33102811	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33102835	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33102842	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33102882	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33103600	Sagem	D41S-B	
33104300	Sagem	DC810	D314-BO
33104400	Sagem	DC815	D314-B5,DC818,DC825,DC835
33104500	Sagem	DC815	D314-B5,DC818,DC825,DC835
33104600	Sagem	DC819	D314-B9,DC829,DC839
33104700	Sagem	DC 820	D314-BO
33104782	Sagem	DC 820	D314-BO
33104800	Sagem	DC815	D314-B5,DC818,DC825,DC835
33104900	Sagem	DC819	D314-B9,DC829,DC839
33105000	Sagem	DC830	D314-B0
33105100	Sagem	DC815	D314-B5,DC818,DC825,DC835
33105200	Sagem	DC819	D314-B9,DC829,DC839
33105300	Sagem	DC840	D314-P0
33105400	Sagem	DC845	D314-P5,DC855
33105500	Sagem	DC849	D314-P9,DC859
33105600	Sagem	DC850	D314-PO
33105700	Sagem	DC845	D314-P5,DC855
33105800	Sagem	DC849	D314-P9,DC859
33200100	Mitsubishi	MT-D30	MT-D30C
33200135	Mitsubishi	MT-D30	MT-D30C
33200335	Mitsubishi	B820	
33200435	Mitsubishi	MT401	
33200500	Sagem	M22-F2	
33200600	Sagem	M22-FL	
33200700	Sagem	M 22-L2	MC715
33200735	Sagem	M 22-L2	MC715
33200782	Sagem	M 22-L2	MC715
33200800	Sagem	M 22-S2	
33200882	Sagem	M 22-S2	
33201000	Sagem	RC 820	G31-B0,G312-BO,G314-B0,M31-BO
33201022	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201035	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201082	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201095	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201100	Sagem	M31	M31 - PO,M31-B5
33201195	Sagem	M31	M31 - PO,M31-B5
33201200	Sagem	M31	M31 - PO,M31-B5
33201235	Sagem	M31	M31 - PO,M31-B5
33201300	Sagem	M31-P5	
33201600	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201622	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201635	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201682	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201695	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33201700	Sagem	M312	M312 - P5,M312-B5
33201735	Sagem	M312	M312 - P5,M312-B5
33201782	Sagem	M312	M312 - P5,M312-B5
33201800	Sagem	M 8300	GSM2410,M312-P0
33201835	Sagem	M 8300	GSM2410,M312-P0
33201882	Sagem	M 8300	GSM2410,M312-P0
33201895	Sagem	M 8300	GSM2410,M312-P0
33201900	Sagem	M312	M312 - P5,M312-B5
33201982	Sagem	M312	M312 - P5,M312-B5
33202000	Sagem	MC 835	DMC835,DMC838,M312-B5,M312-P5,M314-B5,M314-P5,MC845,MC855,MC935 Essential
33202022	Sagem	MC935	
33202035	Sagem	MC935	
33202082	Sagem	MC935	
33202095	Sagem	MC935	
33202100	Alcatel	OT Easy db	BE1,OneTouch Easy db
33202136	Alcatel	OT Easy db	BE1,OneTouch Easy db
33202153	Alcatel	OT Easy db	BE1,OneTouch Easy db
33202167	Alcatel	OT Easy db	BE1,OneTouch Easy db
33202170	Alcatel	OT Easy db	BE1,OneTouch Easy db
33202171	Alcatel	OT Easy db	BE1,OneTouch Easy db
33202200	Mitsubishi	Trium Galaxy	Galaxy
33202235	Mitsubishi	Trium Galaxy	Galaxy
33202300	Mitsubishi	Trium Geo	Geo
33202335	Mitsubishi	Trium Geo	Geo
33202400	Mitsubishi	Trium Astral	Astral
33202435	Mitsubishi	Trium Astral	Astral
33202500	Alcatel	OT View db @	BE3,One Touch View DB,OneTouchView db @
33202553	Alcatel	OT View db	BE3,One TouchView db,OneTouchView db
33202567	Alcatel	OT View db	BE3,One TouchView db,OneTouchView db
33202570	Alcatel	OT View db	BE3,One TouchView db,OneTouchView db
33202571	Alcatel	OT View db	BE3,One TouchView db,OneTouchView db
33202600	Sagem	MC 836	M312-B5
33202622	Sagem	MC 836	M312-B5
33202635	Sagem	MC 836	M312-B5
33202682	Sagem	MC 836	M312-B5
33202695	Sagem	MC 836	M312-B5
33202700	Sagem	MC 835	DMC835,DMC838,M312-B5,M312-P5,M314-B5,M314-P5,MC845,MC855,MC935 Essential
33202800	Sagem	MC 825	M312-B5,M314-B5,MC826,MC827,MC837,MC838
33202900	Sagem	MC 815	M312-B5
33203000	Sagem	MC 850	M312-P0,M314-B0,M314-P0
33203100	Sagem	MC 840	M312-P0,M314-B0,M314-P0,MC 840 M
33203200	Sagem	MC 810	M312-B0,M314-B0
33203300	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33203400	Sagem	MC 830	M312-B0,M314-B0
33203435	Sagem	MC 830	M312-B0,M314-B0
33203500	Sagem	MC 835	DMC835,DMC838,M312-B5,M312-P5,M314-B5,M314-P5,MC845,MC855,MC935 Essential
33203600	Sagem	MC 835	DMC835,DMC838,M312-B5,M312-P5,M314-B5,M314-P5,MC845,MC855,MC935 Essential
33203700	Sagem	M312-P9	
33203800	Sagem	M312-B9	
33203900	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33203936	Alcatel	OT Club	BE1,HD1,HE1,HE1EFR,HE1TV,One Touch CB,One Touch Club+,OneTouch Club
33203953	Alcatel	One Touch Club db	BE1,OT Club db
33203967	Alcatel	One Touch Club db	BE1,OT Club db
33203970	Alcatel	One Touch Club db	BE1,OT Club db
33203971	Alcatel	One Touch Club db	BE1,OT Club db
33204000	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33204053	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33204067	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33204070	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33204071	Alcatel	OT Max db	BE1,HD1,One Touch Max,OneTouch Max db
33204100	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204153	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204167	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204170	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204171	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204200	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204253	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204267	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204270	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204271	Alcatel	OT Easy db	BE1,OneTouch Easy db
33204300	Sagem	M313	M313-B0,M313-B5,M313-BO
33204311	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33204322	Sagem	M313	M313-B0,M313-B5,M313-BO
33204335	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33204382	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33204395	Sagem	MC 820	M312-B0,M312-BO,M314-B0,M314-B9,M314-P0,MC820,MCT 820
33204400	Sagem	M313	M313-B0,M313-B5,M313-BO
33204435	Sagem	M313	M313-B0,M313-B5,M313-BO
33204482	Sagem	M313	M313-B0,M313-B5,M313-BO
33204500	Sagem	M313-B9	
33204600	Sagem	M313-P5	
33204700	Sagem	M313-P9	
33204800	Sagem	M313-PO	
33204900	Sagem	M 9500	M41F-P,MC939
33204911	Sagem	MC 940	GPH42,MC940,MR940
33204920	Sagem	MC 940	GPH42,MC940,MR940
33204922	Sagem	MC 940	GPH42,MC940,MR940
33204935	Sagem	MC 940	GPH42,MC940,MR940
33204942	Sagem	MC 940	GPH42,MC940,MR940
33204972	Sagem	MC 940	GPH42,MC940,MR940
33204982	Sagem	MC 940	GPH42,MC940,MR940
33204995	Sagem	MC 940	GPH42,MC940,MR940
33205000	Sagem	M41S-P	
33205011	Sagem	MC 940	GPH42,MC940,MR940
33205020	Sagem	MC 940	GPH42,MC940,MR940
33205022	Sagem	MC 940	GPH42,MC940,MR940
33205035	Sagem	MC 940	GPH42,MC940,MR940
33205042	Sagem	MC 940	GPH42,MC940,MR940
33205072	Sagem	MC 940	GPH42,MC940,MR940
33205082	Sagem	MC 940	GPH42,MC940,MR940
33205095	Sagem	MC 940	GPH42,MC940,MR940
33205100	Alcatel	OT Gum db	BE1,OneTouch Gum db
33205153	Alcatel	OT Gum db	BE1,OneTouch Gum db
33205200	Sagem	M41P-P	
33205211	Sagem	MC 940	GPH42,MC940,MR940
33205220	Sagem	MC 940	GPH42,MC940,MR940
33205222	Sagem	MC 940	GPH42,MC940,MR940
33205235	Sagem	MC 940	GPH42,MC940,MR940
33205242	Sagem	MC 940	GPH42,MC940,MR940
33205272	Sagem	MC 940	GPH42,MC940,MR940
33205282	Sagem	MC 940	GPH42,MC940,MR940
33205295	Sagem	MC 940	GPH42,MC940,MR940
33205300	Sagem	M41F-B	
